login,firstName,lastName,middleName,email
Ion.Popescu@acme.com,Ion,Popescu,Dorin,Ion.Popescu@acme.com
Vasile.Ionescu@acme.com,Vasile,Ionescu,,Vasile.Ionescu@acme.com
Gheorghita.Zugravu@acme.com,Gheorghita,Zugravu,,Gheorghita.Zugravu@acme.com
Alexandru.Varzare@acme.com,Alexandru,Varzare,,Alexandru.Varzare@acme.com
Jhonny.Gonzales@acme.com,Jhonny,Gonzales,,Jhonny.Gonzales@acme.com
Radu.Popescu@acme.com,Radu,Popescu,,Radu.Popescu@acme.com
Barack.Obama@acme.com,Barack,Obama,,Barack.Obama@acme.com
Klaus.Iohanis@acme.com,Klaus,Iohanis,,Klaus.Iohanis@acme.com
Traian.Basescu@acme.com,Traian,Basescu,,Traian.Basescu@acme.com
Ion.Iliescu@acme.com,Ion,Iliescu,,Ion.Iliescu@acme.com
Mircea.Geoana@acme.com,Mircea,Geoana,,Mircea.Geoana@acme.com
Florin.Citu@acme.com,Florin,Citu,,Florin.Citu@acme.com
Victor.Ciorbea@acme.com,Victor,Ciorbea,,Victor.Ciorbea@acme.com
Liviu.Dragnea@acme.com,Liviu,Dragnea,,Liviu.Dragnea@acme.com
Viorica.Dancila@acme.com,Viorica,Dancila,,Viorica.Dancila@acme.com
Marcel.Ciolacu@acme.com,Marcel,Ciolacu,,Marcel.Ciolacu@acme.com
Tudor.Vadim@acme.com,Tudor,Vadim,,Tudor.Vadim@acme.com
Gabriela.Firea@acme.com,Gabriela,Firea,,Gabriela.Firea@acme.com
